"989","Multnomah","NE 87th Ave - NE Killingsworth Connector"
"990","Multnomah","NE 90th Ave - NE 91st Ave Connector"
"991","Multnomah","NE 92nd Ave"
"992","Multnomah","NE Alderwood Rd"
"993","Multnomah","NE Bridgeton Rd."
"994","Multnomah","NE Burnside St - NE Davis St Connector"
"995","Washington","NE Chancellor Ct - Glencor High School Connector"
"996","Multnomah","NE Cornfoot Rd"
"997","Multnomah","NE Elrod Rd"
"998","Multnomah","NE Everett St Connector"
"999","Multnomah","NE Glisan St - NE 12th Ave Connector"
"1000","Washington","NE Hampton Ct - NE 28th Ave Connector"
"1001","Multnomah","NE Hancock - NE Sandy Blvd Connector"
"1002","Multnomah","NE Hood Ave"
"1003","Multnomah","NE Kelly Ave"
"1004","Multnomah","NE Killingsworth Ct - NE Killingsworth St Connector"
"1005","Multnomah","NE Klickitat St Trail"
"1006","Multnomah","NE Martin Luther King Jr Blvd - Vancouver Blvd Connector"
"1007","Washington","NE Nelly St - NE Shaleen St Connector"
"1008","Multnomah","NE Schuyler St Alley"
"1009","Washington","NE Vallevue Ct - NW Anderson St Connector"
"1010","Multnomah","NW 10th Ave. - Connector"
"1011","Washington","NW 114th Ave - NW Kenzie Ln Connector"
"1012","Washington","NW 13th Ave Connector"
"1013","Washington","NW 152nd Ave - NW Pioneer Rd"
"1014","Washington","NW 183rd - McKinley Elementary School Connector"
"1015","Multnomah","NW 27th Ave Path"
"1016","Multnomah","NW 29th Ave"
"1017","Multnomah","NW 29th Ave Connector"
"1018","Washington","NW 60th Ave Connector"
"1019","Multnomah","NW 61st Ave"
"1020","Washington","NW Barnes Rd - NW Corby Dr Connector"
"1021","Washington","NW Bethany Blvd - NW Manresa Ct Connector"
"1022","Multnomah","NW Bridge Ave"
"1023","Multnomah","NW Bridge Ave."
"1024","Multnomah","NW Burnside Ct"
"1025","Washington","NW Century Blvd"
"1026","Multnomah","NW Copeland Street"
"1027","Washington","NW Cornelius Pass Rd - NW 73rd Ave Connector"
"1028","Multnomah","NW Creston Rd."
"1029","Washington","NW David Hill Rd Connector"
"1030","Washington","NW Donelson St - NW Darnielle St Connector"
"1031","Washington","NW Fail Pl - NW Tanasbrook Ct Connector"
"1032","Multnomah","NW Front Ave"
"1033","Multnomah","NW Germantown Road"
"1034","Multnomah","NW Harborton Dr."
"1035","Multnomah","NW Irving Pedestrian Walkway"
"1036","Multnomah","NW Kittridge Ave"
"1037","Multnomah","NW Mackay Ave."
"1038","Multnomah","NW Marina Way"
"1039","Washington","NW Milne St Extension"
"1040","Washington","NW Nightshade Dr - Kaiser Connector"
"1041","Washington","NW Remembrance Ct - NW Kaiser Rd Connector"
"1042","Washington","NW Saltzman Ct Connector"
"1043","Multnomah","NW Springville Rd."
"1044","Multnomah","NW St Helens Rd"
"1045","Multnomah","NW St. Helens Rd"
"1046","Multnomah","NW Thurman St"
"1047","Multnomah","NW US 30 - Roseway Ave Connector"
"1048","Multnomah","NW Upshur St"
"1049","Multnomah","NW Wardway St - NW 28th Pl Connector"
"1050","Multnomah","Nadaka Loop Trail - Connector"
"1051","Multnomah","Naito Pkwy Pedestrian Trail"
"1052","Clackamas","Natalya St - Lea St Connector"
"1053","Multnomah","Natio - Ironside Connector"
