709004,"Clackamas","Sherbrook Pl Connector",
458046,"Multnomah","Broadway Bridge",
967306,"Clackamas","Haley Ct - Ethel St Connector",
575688,"Clackamas","Red Fox Trail",
565841,"Clackamas","West Linn - Wilsonville School - Santa Anita Dr Connector",
989853,"Clackamas","147th Ave - Page Park Ct Connector",
631527,"Clackamas","Lyon Court - 147th Ave Connector",
889949,"Clackamas","Sandy Bluffs Homeowners Trails - Connector",
659674,"Multnomah","Winning Way - Center Court St Connector",
736464,"Multnomah","NE 102nd Ave - NE Davis St Connector",
210180,"Clackamas","Atkinson Park Trail",
266650,"Clackamas","Orchard Drive Connector",
644637,"Clackamas","Sandy River Water Trail",
132924,"Washington","209th Ave - Ravenswood St Conenctor",
783225,"Multnomah","McNary Pkwy Connector",
112905,"Clackamas","Ten Eyck Path",
194437,"Multnomah","Johnson Creek Trail Connector",
106216,"Multnomah","Grover St Connector",
858224,"Washington","Upland Trails",
423803,"Multnomah","Ira Keller Fountain Park Trails - Connector",
146575,"Multnomah","NE Schuyler St Alley",
639998,"Washington","209th Ave - Quntessa Ct Connector",
145032,"Tillamook","University Falls Trail",
859686,"Multnomah","US 30 - NW Roseway Ave Connector",
964726,"Clackamas","Pecan Creek Trail",
302556,"Multnomah","Quimby St - Cornell Rd Connector",
423853,"Multnomah","Cornell Rd - Summit Ave Connector",
477891,"Clackamas","Timberline Trail",
547798,"Multnomah","Buck Point Trail #439",
758422,"Multnomah","NW 29th Ave",
684575,"Clackamas","Serene Lake Trail #512",
353376,"Washington","Nike Campus Trails",
749613,"Washington","Nike Campus Trails Connector",
326884,"Multnomah","SW 1st Ave - SW Naito Pkwy",
961780,"Clackamas","Happy Valley Village Homeowners Association Trails - Connector",
367382,"Clackamas","18th PL - Moalla Forest Rd Connector",
839570,"Multnomah","South Main Avenue",
448197,"Multnomah","N. Columbia Blvd. Connector",
864470,"Tillamook","Salmonberry Corridor Trail",
189597,"Clackamas","Miles Ct",
345790,"Clackamas","Kensington Bluff Homeowners Association Trails - Connector",
982466,"Multnomah","Gresham / Fairview Trail Connector",
152832,"Multnomah","SW 23rd - Sunset Dr Connector",
292413,"Multnomah","Montgomery St",
754748,"Clackamas","Knox Road",
300762,"Multnomah","Penninsula Crossing Trail Connector",
965643,"Multnomah","Warbler Trail",
261044,"Clackamas","Molalla-Loop Trail",
944946,"Clackamas","Denton Dr - Westlake Dr Connector",
967850,"Multnomah","Lafayette St Connector",
807184,"Clackamas","Jefferson - Bay Creek Connector",
635822,"Clackamas","Willamette Falls to Canemah Trail",
610042,"Multnomah","Gerald Ave - Broadway Dr",
761749,"Clackamas","Webstre - Oatfield Rd Connector",
497116,"Multnomah","Congress Ave - Saratoga St",
673732,"Clackamas","Molalla-Rim Tie Trail",
660602,"Clackamas","Clackamas River Trail #715",
